789,271,-25,-729,-152,-53,5479,-8217,471,-391,-271,134
835,299,-141,-633,-37,-51,5479,-8205,433,-275,-140,100
829,259,-9,-531,-51,-81,5507,-8167,403,-224,-83,103
757,231,87,-522,-57,-16,5523,-8117,339,-257,-67,87
743,223,125,-472,-179,-44,5481,-8135,271,-306,-52,86
697,193,119,-529,-209,-49,5529,-8099,407,-401,-112,9
721,239,77,-536,-237,-58,5469,-8113,429,-479,-107,36
709,233,81,-512,-310,-10,5453,-8151,421,-489,-121,37
743,213,75,-441,-315,21,5349,-8237,441,-504,-93,-1
769,245,51,-480,-251,123,5411,-8181,427,-482,-40,-32
811,277,125,-524,-188,87,5439,-8157,529,-416,-106,-22
743,271,19,-482,-234,31,5315,-8187,459,-333,53,17
855,183,127,-461,-220,30,5363,-8001,317,-336,70,44
725,159,89,-486,-238,16,4249,-8071,843,-448,-75,425
521,53,977,-506,105,-60,2489,-8071,3601,425,-1272,3395
-1265,-519,2515,-2180,3026,-1022,1423,-7985,5465,3313,-787,5936
-2175,-795,2931,-2924,3314,-2490,-341,-7267,4945,5527,-1983,8878
-1867,-817,2031,-4344,2332,-3510,15,-8351,6247,7614,1459,8751
-1597,-1011,1463,-5407,1419,-4070,-253,-7593,4505,8188,-5247,13078
-3445,-581,885,-4495,155,-4256,607,-7013,2245,9902,-5871,12112
-6397,-239,1361,-2037,-3320,-4901,2099,-5403,791,9612,-7010,9674
-6663,-1047,1721,-954,2786,-4422,5909,-2517,-2631,7202,-4098,6290
-5943,1353,15,-5055,6503,-1570,8253,-1313,-2911,115,-4146,4579
-5755,-125,-4461,-9632,3321,894,7601,-875,-2043,-8676,-3416,2412
4249,-753,-297,-4721,1356,-15112,7439,1205,10247,-9810,2512,-2726
4367,-5441,-5209,-9675,-2591,-2971,-2857,1819,5695,-4183,6530,-4526
9641,-7759,-8601,-7209,-4535,-5160,-657,-6415,14421,1700,1479,-1919
9125,-6501,-3841,342,-12448,-4297,1655,-1357,11087,6991,1136,6193
4859,-6389,3349,12350,-12380,-536,1963,-2195,6133,8929,-5784,6275
-2889,-8115,11461,7354,-9324,1632,8661,-2379,-715,7254,-4434,3121
1755,-3187,13925,7157,-4410,-291,11581,1425,-6329,3440,-2804,1051
-673,-7007,17859,-3231,-295,-1702,9661,377,-3537,-1805,928,-738
199,-5763,11611,-6301,6383,3691,8259,1115,-1859,-10046,2309,-6231
4343,-2945,711,-7969,12284,3113,-607,285,12311,-5219,6149,-7779
3511,-6275,-7753,-5222,6031,1270,-1819,2027,15375,1977,14943,-7277
4067,-8177,-5057,-6642,-6571,-3730,-2701,-2971,9405,-2815,-4378,-809
5527,-6683,-749,3355,-1278,-489,-513,-923,8657,3009,-7493,6254
-487,-5983,4593,6667,-4693,3034,3449,221,5147,6349,-3060,6134
-3405,-6159,9809,3956,-11654,2283,6597,-109,-293,6490,-652,4983
3129,-3773,12705,4485,-623,-3320,12027,2483,-4825,1696,-1785,2876
-2353,-7923,15727,-2867,2747,-169,8173,1957,-5109,-3075,2878,-118
-2201,-5387,10251,-7766,537,-2413,7261,-31,-783,-9255,1826,-5027
4379,-5939,2567,-5570,8939,2923,2611,691,9915,-7018,5977,-7375
5911,-6847,-5189,-4751,5457,945,-4279,2139,15577,2085,10681,-5958
2697,-6545,-6103,-1340,-835,-979,-3583,203,8933,-3311,-4427,-2638
3581,-6047,1831,-519,-4703,-5035,-263,921,6927,3854,-7310,6156
-203,-5225,4679,6831,-7307,553,4815,-463,1329,5123,-5673,5227
-2345,-7133,12135,3869,-9711,-479,9151,2119,-2975,3235,-3714,4243
2539,-7819,14587,5151,2226,-2696,7419,2697,-2923,444,1276,1209
683,-7709,12989,-4742,2220,2648,6353,-373,-1697,-7119,3609,-3188
1087,-6537,6169,-8142,1481,-1531,4193,-2049,5115,-6589,2154,-6491
4393,-7231,-2035,-3851,9909,5149,-2705,-969,13117,-2039,8689,-5743
2469,-5907,-5573,-1164,2562,1345,-3679,-117,9807,-1440,2495,-3416
3189,-5533,131,807,-2137,-1248,-3583,-1709,8671,1365,-3190,451
1357,-6079,4001,4330,-3822,-712,103,-1537,5833,5035,-6303,6172
-21,-6459,6427,3002,-5649,-131,4255,-417,3639,5602,-4210,7552
-1069,-4863,6207,5375,-4273,295,5591,117,-993,4932,-1570,7485
-3087,-4615,11477,2655,-3765,-969,7525,1719,-2587,2472,1985,3338
-2077,-7887,16479,-2737,-3209,1228,8171,321,-4401,-2111,2456,718
-1623,-5783,11997,-6207,4354,-1846,9343,137,-2325,-5977,577,-2901
2197,-4491,4553,-6989,6161,-226,8041,-441,679,-7859,809,-4990
3631,-6403,-1133,-4276,8301,3565,-253,1031,12071,-4702,5121,-6380
3703,-8809,-6011,-1720,3525,-1684,1299,349,12437,-285,7777,-5845
3937,-6115,-1411,-1886,-6360,-1382,-7569,-1007,9673,3046,-82,1908
4295,-6295,691,3749,-5663,1758,-1749,-1413,5317,3350,-7826,7073
-833,-5427,4851,6739,-5044,356,4365,-1365,1443,2570,-6844,7627
-6225,-8439,12891,3706,-8072,-1055,8791,799,-255,2817,-4934,6436
1107,-4183,12227,3347,-3696,-3638,9381,2857,-3773,2672,-1937,1984
-1177,-5981,13671,-1223,2683,-1109,11051,1901,-5329,-3861,504,-3555
-1701,-6923,12233,-3119,3777,-477,6215,-651,27,-7779,3788,-6240
1203,-6361,6093,-6648,4791,-3839,263,-359,7755,-4611,3280,-4901
6319,-6241,-2061,-5833,6732,1665,-2007,2181,12679,666,9159,-5730
4897,-6953,-6411,-2750,6063,4124,-3691,-1601,8485,-914,3175,-4440
2523,-7361,-5517,-1572,-1718,-2155,-5321,-1705,9593,1096,-2768,2960
3051,-6659,1507,915,-6688,-2801,-1691,-307,7769,2159,-5652,6794
1791,-6557,3265,5129,-10329,635,3707,-897,3175,4144,-6635,7145
199,-6999,9787,5052,-8292,1514,7685,-3,-445,4665,-3792,5080
-883,-6745,13893,2695,105,-2065,10867,3217,-4675,2273,-3480,3834
-727,-6845,13589,928,1373,-302,7143,2241,-2621,-1338,3643,621
-3235,-6407,11491,-2934,1609,3025,7549,65,-889,-6302,4111,-4266
1147,-6117,7833,-9466,-357,-3440,5613,-1459,1653,-6331,5097,-7041
5265,-6689,1495,-5954,7811,3311,-4713,1469,11549,-2316,6685,-7810
4723,-8175,-7423,-2255,6055,4319,-3533,-957,10277,-1568,5238,-3700
2997,-6779,-7235,-568,-2182,-3308,-5021,-1553,10749,-1000,-3169,-1951
4117,-5457,1549,2904,-2915,-3229,-1181,-1081,6697,5226,-5884,6165
171,-6091,5757,8293,-6958,497,7023,-1401,1131,5751,-6965,7669
-1039,-8119,15941,3201,-7382,-1254,9803,2127,-3131,2849,-1798,4536
-923,-6283,14447,2393,2571,-3464,7315,2875,-3483,627,309,994
-1581,-7637,12401,-1586,3631,3481,6157,329,-1015,-4284,1893,-4496
1697,-5361,6651,-6738,4623,-1619,5113,-335,2187,-5844,4284,-6605
3807,-6125,-1357,-6453,7118,373,-3069,1447,10167,-1901,6242,-7011
3877,-7269,-8007,-2851,1571,2237,-2275,-1071,8129,-1643,3259,-2621
3061,-7981,-3011,1826,-5967,-1305,-2531,-621,11105,-1309,-3164,-569
3015,-6615,2015,3743,-5977,-2408,-1891,-577,6435,4270,-4605,7055
1215,-5653,7163,6012,-5884,1055,5681,-823,1501,5835,-5425,7537
-1337,-6981,14687,3880,-2912,342,8579,2195,-4155,2325,-3232,5085
1607,-6085,13587,2374,1014,-1544,5797,-73,-1495,-2484,-370,1575
269,-7319,13153,-6775,929,-1304,7759,539,-2107,-5804,2445,-4671
2849,-5869,4601,-9203,5295,-4135,3163,-1029,7461,-5369,5112,-6198
4927,-6199,-1227,-6300,7680,1953,-3825,301,12411,-1731,8063,-5557
4701,-8637,-6297,-2238,7098,4658,-3465,477,11751,1650,7639,-4046
1971,-6473,-3639,2398,-917,2278,-3065,-329,8577,-2230,-6127,1678
2555,-5661,577,4405,-8531,-260,-1361,-1519,5929,4082,-3946,4921
127,-5249,5987,5196,-11496,1553,5239,-895,2639,4459,-8001,8199
977,-5715,11377,3551,-3436,-1351,8093,1347,-2821,4383,-624,5110
-555,-6551,14137,3592,3072,882,8887,2253,-4973,-768,2791,1103
-1851,-6335,14197,-2982,1980,1261,6919,-1275,-1593,-4493,964,-2880
145,-5937,7705,-8313,5247,-5307,5365,-1765,2423,-7157,2966,-6061
3911,-6117,825,-8351,4899,-2956,-1419,-639,9659,-3528,3995,-6097
5885,-6603,-5011,-3448,8865,1850,-1133,-1299,11365,-1690,4404,-3602
1909,-7703,-6025,2549,2696,5178,-5245,-547,10725,-980,105,-1905
945,-6031,1003,1952,-10256,-861,-4091,-1803,7981,4091,-3857,3535
1391,-5723,6433,5174,-11121,1420,5489,-1079,2711,4924,-5257,7189
-705,-5203,12551,2896,-2734,-1998,7913,1143,-3683,2371,-5010,6567
-3065,-8209,16429,885,1596,-504,6779,1669,-1313,163,1179,3311
-825,-6907,10189,-1227,2193,-240,8495,609,-1063,-3168,815,-2104
1211,-4847,7319,-7639,2306,-2515,6703,-1025,337,-4850,2840,-4047
3849,-6761,991,-7613,3971,-4428,2127,-971,6869,-4303,5755,-4776
3729,-8087,-2115,-3803,6561,887,-3197,-113,11111,-1957,6237,-3548
1993,-7173,-4091,637,2726,2593,-7043,945,10093,-19,316,-2415
2863,-6439,415,1618,-6020,81,-3251,-1179,7543,4049,-3938,1893
1803,-5335,4081,5899,-6482,2427,3751,-1115,2689,4931,-10136,7165
-433,-7243,10831,5320,366,1826,7647,917,-2113,3626,-7085,5313
-3889,-6541,12291,1601,2172,505,10277,2659,-5293,192,-2864,2343
-3017,-6481,11803,-1338,758,821,6829,-591,-2721,-4408,2081,-1340
-1453,-5433,8551,-8605,1141,-3730,6865,-1457,533,-7016,4797,-4779
2833,-5573,1229,-9339,2320,-5310,2153,-295,7115,-4036,9665,-6511
4329,-8829,-3295,-3037,5652,1342,-6135,2605,14615,789,11312,-5928
2777,-7331,-5169,-1790,-1527,426,-9109,-1403,6603,-1006,-1179,-1875
4527,-6543,-287,2585,-5800,-286,-1339,-2521,7497,2730,-7079,2640
1615,-6151,3743,7997,-5148,3994,3625,-1445,2295,4459,-9078,7512
-2291,-8133,13213,4116,-3952,2859,7889,1065,-453,4705,-1295,5078
-4069,-5739,13403,-759,-1595,-1270,7881,2183,-3591,2153,-100,1272
-2871,-5375,10765,-2768,5384,288,7113,-55,-2401,-3698,2223,-2933
599,-6443,6187,-8555,1009,-5738,4933,-745,2447,-6901,2317,-5655
3443,-5935,1281,-8568,5048,-5063,961,-209,7173,-5009,3386,-5761
5969,-6949,-3805,-4268,7455,847,-2449,1485,12229,-1330,5922,-4396
4589,-8343,-7793,-1502,1201,2996,-4689,-1159,7953,38,5529,-2013
3469,-8279,-2095,1862,-5599,255,-5459,-895,8359,360,-2578,1951
2771,-6649,1913,7316,-6733,132,-681,-1041,5693,4001,-7252,5421
447,-6845,8143,6079,-8795,3723,5817,-623,977,4238,-6667,6686
-1161,-7021,14681,2631,-1357,-42,9385,2203,-4111,1761,-5223,4799
